OrderNumber;Sales Channel;OrderDate;ShipDate;DeliveryDate;CurrencyCode;_SalesTeamID;salesteam name;_StoreID;StateName;statecode;household income;population;City Name;_ProductID;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0005740;Online;30/03/2020;22/04/2020;27/04/2020;USD;18;Shawn Wallace;96;Colorado;CO;58918;161.175;Fort Collins;15;4;7,5%;2.311,50;1.502,48
SO - 0005741;In-Store;30/03/2020;13/04/2020;23/04/2020;USD;12;Carl Nguyen;336;Texas;TX;103937;283.558;Plano;31;2;30%;4.013,30;2.207,32
SO - 0005742;In-Store;31/03/2020;10/04/2020;19/04/2020;USD;4;Chris Armstrong;232;North Carolina;NC;78439;201.963;Fayetteville;8;5;7,5%;1.996,60;1.217,93
SO - 0005743;Online;31/03/2020;15/04/2020;18/04/2020;USD;18;Shawn Wallace;231;North Carolina;NC;100513;257.636;Durham;30;5;5%;1.232,80;493,12
SO - 0005744;In-Store;31/03/2020;20/04/2020;30/04/2020;USD;7;Shawn Cook;235;North Carolina;NC;170366;451.066;Raleigh;45;2;10%;3.155,70;1.388,51
SO - 0005745;Online;31/03/2020;26/04/2020;29/04/2020;USD;13;Todd Roberts;105;Connecticut;CT;45239;124.006;Hartford;34;2;5%;710,20;497,14
SO - 0005746;Online;31/03/2020;05/04/2020;14/04/2020;USD;12;Carl Nguyen;91;Colorado;CO;124031;359.407;Aurora;15;7;5%;5.058,50;3.844,46
SO - 0005747;Online;31/03/2020;17/04/2020;20/04/2020;USD;17;Frank Brown;313;Texas;TX;45263;133.168;Carrollton;8;7;5%;1.206,00;747,72
SO - 0005748;In-Store;31/03/2020;25/04/2020;03/05/2020;USD;3;Jerry Green;367;Wisconsin;WI;230807;600.155;Milwaukee;23;1;20%;194,30;149,61
SO - 0005749;In-Store;01/04/2020;29/04/2020;30/04/2020;USD;1;Adam Hernandez;131;Florida;FL;56171;166.611;Pembroke Pines;43;4;5%;1.005,00;643,20
SO - 0005750;Distributor;01/04/2020;23/04/2020;02/05/2020;USD;21;Samuel Fowler;301;Tennessee;TN;70228;176.588;Chattanooga;25;7;7,5%;1.058,60;624,57
SO - 0005751;Wholesale;01/04/2020;18/04/2020;28/04/2020;USD;27;Shawn Torres;2;Alabama;AL;78554;190.582;Huntsville;24;8;5%;1.943,00;1.651,55
SO - 0005752;In-Store;01/04/2020;04/04/2020;06/04/2020;USD;11;Joshua Little;64;California;CA;91267;322.424;Riverside;39;3;5%;2.525,90;1.288,21
SO - 0005753;In-Store;01/04/2020;03/04/2020;10/04/2020;USD;6;Joshua Bennett;71;California;CA;353287;864.816;San Francisco;43;6;7,5%;5.735,20;3.670,53
SO - 0005754;In-Store;01/04/2020;03/04/2020;07/04/2020;USD;7;Shawn Cook;179;Illinois;IL;56788;152.861;Worth (Township);34;3;5%;1.058,60;793,95
SO - 0005755;Online;01/04/2020;06/04/2020;11/04/2020;USD;13;Todd Roberts;271;New York;NY;34566;135.257;Ramapo;27;8;40%;1.239,50;607,36
SO - 0005756;In-Store;01/04/2020;27/04/2020;01/05/2020;USD;1;Adam Hernandez;4;Alabama;AL;79866;200.602;Montgomery;42;2;7,5%;3.631,40;1.561,50
SO - 0005757;In-Store;02/04/2020;05/04/2020;10/04/2020;USD;4;Chris Armstrong;297;South Carolina;SC;52450;132.609;Charleston;14;4;10%;971,50;816,06
SO - 0005758;In-Store;02/04/2020;26/04/2020;01/05/2020;USD;6;Joshua Bennett;183;Indiana;IN;51271;119.943;Evansville;13;2;7,5%;5.266,20;4.212,96
SO - 0005759;Online;02/04/2020;16/04/2020;19/04/2020;USD;18;Shawn Wallace;135;Florida;FL;105443;257.083;St. Petersburg;7;2;7,5%;3.919,50;2.978,82
SO - 0005760;In-Store;02/04/2020;22/04/2020;01/05/2020;USD;12;Carl Nguyen;142;Georgia;GA;72760;200.579;Columbus;37;2;20%;2.398,60;1.750,98
SO - 0005761;In-Store;02/04/2020;18/04/2020;21/04/2020;USD;10;Jonathan Hawkins;53;California;CA;158424;419.267;Oakland;43;5;7,5%;1.078,70;862,96
SO - 0005762;In-Store;02/04/2020;29/04/2020;04/05/2020;USD;12;Carl Nguyen;132;Florida;FL;41422;107.762;Pompano Beach;32;2;5%;3.865,90;2.860,77
SO - 0005763;Online;02/04/2020;23/04/2020;25/04/2020;USD;15;Roger Alexander;161;Illinois;IL;46895;147.861;Joliet;23;3;7,5%;3.879,30;2.599,13
SO - 0005764;Online;02/04/2020;26/04/2020;05/05/2020;USD;16;Anthony Berry;172;Illinois;IL;54255;151.772;Proviso;20;3;20%;1.011,70;566,55
SO - 0005765;Distributor;02/04/2020;09/04/2020;18/04/2020;USD;23;Douglas Tucker;93;Colorado;CO;38991;109.741;Centennial;24;1;7,5%;5.688,30;2.502,85
SO - 0005766;Distributor;02/04/2020;07/04/2020;08/04/2020;USD;23;Douglas Tucker;80;California;CA;92440;305.658;Stockton;35;4;5%;964,80;791,14
SO - 0005767;Online;03/04/2020;07/04/2020;14/04/2020;USD;15;Roger Alexander;207;Massachusetts;MA;43801;110.402;Cambridge;46;4;5%;2.901,10;2.146,81
SO - 0005035;In-Store;08/01/2020;15/01/2020;21/01/2020;USD;6;Joshua Bennett;259;New York;NY;68789;213.776;Babylon (Town);1;3;15%;1.755,40;1.299,00
SO - 0005769;Online;03/04/2020;30/04/2020;05/05/2020;USD;16;Anthony Berry;279;Ohio;OH;133039;298.550;Cincinnati;30;6;7,5%;924,60;656,47
SO - 0005770;Online;03/04/2020;25/04/2020;04/05/2020;USD;16;Anthony Berry;188;Indiana;IN;44154;113.236;Perry;40;2;10%;6.378,40;3.508,12
SO - 0005771;Online;03/04/2020;19/04/2020;21/04/2020;USD;14;Paul Holmes;182;Indiana;IN;59947;147.837;Center;16;3;10%;1.092,10;589,73
SO - 0005772;In-Store;03/04/2020;16/04/2020;19/04/2020;USD;3;Jerry Green;91;Colorado;CO;124031;359.407;Aurora;8;7;15%;3.470,60;1.874,12
SO - 0005773;In-Store;03/04/2020;11/04/2020;21/04/2020;USD;10;Jonathan Hawkins;206;Massachusetts;MA;256294;667.137;Boston;38;8;10%;3.939,60;2.481,95
SO - 0005774;In-Store;03/04/2020;05/04/2020;12/04/2020;USD;4;Chris Armstrong;314;Texas;TX;36175;107.889;College Station;27;3;20%;214,40;122,21
SO - 0005775;In-Store;03/04/2020;20/04/2020;30/04/2020;USD;8;George Lewis;168;Illinois;IL;37478;106.229;Niles (Township);31;7;30%;1.956,40;1.584,68
SO - 0005776;Online;03/04/2020;29/04/2020;01/05/2020;USD;17;Frank Brown;236;North Carolina;NC;48425;115.933;Wilmington;3;6;5%;1.105,50;784,91
SO - 0005777;Distributor;03/04/2020;09/04/2020;18/04/2020;USD;25;Patrick Graham;290;Oregon;OR;35284;102.347;Hillsboro;41;8;7,5%;1.078,70;539,35
SO - 0005778;Distributor;03/04/2020;26/04/2020;27/04/2020;USD;25;Patrick Graham;65;California;CA;46547;130.269;Roseville;22;4;7,5%;3.986,50;1.913,52
SO - 0005779;In-Store;04/04/2020;02/05/2020;12/05/2020;USD;4;Chris Armstrong;264;New York;NY;69000;204.398;Huntington;3;1;7,5%;1.018,40;814,72
SO - 0005780;Distributor;04/04/2020;06/04/2020;10/04/2020;USD;23;Douglas Tucker;156;Illinois;IL;1035436;2.720.546;Chicago;40;4;20%;1.078,70;787,45
SO - 0005781;Distributor;04/04/2020;12/04/2020;22/04/2020;USD;21;Samuel Fowler;1;Alabama;AL;89972;212.461;Birmingham;29;6;20%;2.291,40;1.260,27
SO - 0005782;Online;04/04/2020;14/04/2020;17/04/2020;USD;18;Shawn Wallace;44;California;CA;87235;256.927;Irvine;7;4;15%;1.132,30;611,44
SO - 0005783;Distributor;04/04/2020;30/04/2020;08/05/2020;USD;25;Patrick Graham;156;Illinois;IL;1035436;2.720.546;Chicago;23;4;5%;1.132,30;702,03
SO - 0005784;Online;04/04/2020;23/04/2020;24/04/2020;USD;19;Nicholas Cunningham;356;Virginia;VA;166242;452.745;Virginia Beach;20;5;7,5%;1.025,10;563,81
SO - 0005785;In-Store;04/04/2020;30/04/2020;09/05/2020;USD;11;Joshua Little;234;North Carolina;NC;40973;110.268;High Point;34;5;5%;2.351,70;1.599,16
SO - 0005786;Distributor;04/04/2020;26/04/2020;04/05/2020;USD;22;Joe Price;244;New Jersey;NJ;99058;264.290;Jersey City;32;7;5%;3.450,50;2.070,30
SO - 0005787;Distributor;04/04/2020;23/04/2020;27/04/2020;USD;23;Douglas Tucker;248;New Mexico;NM;222098;559.121;Albuquerque;27;5;5%;2.003,30;1.121,85
SO - 0005788;In-Store;04/04/2020;07/04/2020;08/04/2020;USD;5;Stephen Payne;288;Oregon;OR;66093;163.460;Eugene;14;1;5%;2.606,30;1.068,58
SO - 0005789;In-Store;04/04/2020;28/04/2020;03/05/2020;USD;7;Shawn Cook;266;New York;NY;738644;1.644.518;Manhattan;41;5;5%;1.902,80;1.427,10
SO - 0005790;In-Store;04/04/2020;17/04/2020;27/04/2020;USD;8;George Lewis;17;California;CA;33718;110.542;Antioch;5;2;5%;2.371,80;1.565,39
SO - 0005791;In-Store;05/04/2020;24/04/2020;26/04/2020;USD;6;Joshua Bennett;315;Texas;TX;114817;324.074;Corpus Christi;2;4;5%;3.162,40;1.865,82
SO - 0005792;Online;05/04/2020;11/04/2020;12/04/2020;USD;16;Anthony Berry;198;Kansas;KS;150683;389.965;Wichita;44;8;10%;221,10;161,40
SO - 0005793;Online;05/04/2020;07/04/2020;10/04/2020;USD;15;Roger Alexander;306;Tennessee;TN;248677;678.889;Nashville;5;5;15%;1.118,90;593,02
SO - 0005794;In-Store;05/04/2020;15/04/2020;20/04/2020;USD;8;George Lewis;317;Texas;TX;43745;131.044;Denton;12;4;7,5%;2.626,40;1.391,99
SO - 0005795;Wholesale;05/04/2020;29/04/2020;02/05/2020;USD;27;Shawn Torres;77;California;CA;27365;105.093;Santa Maria;9;5;10%;750,40;547,79
SO - 0005118;Wholesale;16/01/2020;21/01/2020;27/01/2020;USD;26;Donald Reynolds;74;California;CA;74757;335.400;Santa Ana;1;3;5%;5.514,10;2.315,92
SO - 0005797;Distributor;05/04/2020;28/04/2020;02/05/2020;USD;20;Anthony Torres;102;Colorado;CO;42239;113.130;Westminster;27;2;7,5%;3.999,90;2.719,93
SO - 0005798;Distributor;05/04/2020;29/04/2020;07/05/2020;USD;22;Joe Price;183;Indiana;IN;51271;119.943;Evansville;41;5;5%;6.110,40;3.299,62
SO - 0005799;In-Store;06/04/2020;12/04/2020;14/04/2020;USD;12;Carl Nguyen;244;New Jersey;NJ;99058;264.290;Jersey City;27;8;5%;167,50;132,33
SO - 0005800;In-Store;06/04/2020;28/04/2020;30/04/2020;USD;9;Joshua Ryan;45;California;CA;24839;100.314;Jurupa Valley;16;4;7,5%;4.006,60;3.325,48
SO - 0005801;Distributor;06/04/2020;10/04/2020;20/04/2020;USD;22;Joe Price;207;Massachusetts;MA;43801;110.402;Cambridge;14;3;30%;3.966,40;2.498,83
SO - 0005802;Online;06/04/2020;14/04/2020;23/04/2020;USD;16;Anthony Berry;270;New York;NY;782664;2.339.150;Queens;43;4;5%;971,50;573,19
SO - 0005803;Online;06/04/2020;03/05/2020;12/05/2020;USD;16;Anthony Berry;338;Texas;TX;35580;115.997;Round Rock;9;4;7,5%;991,60;565,21
SO - 0005804;Online;06/04/2020;20/04/2020;22/04/2020;USD;19;Nicholas Cunningham;253;Nevada;NV;68686;234.807;North Las Vegas;30;3;10%;2.646,50;1.243,86
SO - 0005805;In-Store;06/04/2020;23/04/2020;27/04/2020;USD;8;George Lewis;36;California;CA;72684;232.206;Fremont;17;5;15%;3.718,50;2.751,69
SO - 0005806;In-Store;06/04/2020;20/04/2020;21/04/2020;USD;10;Jonathan Hawkins;245;New Jersey;NJ;92675;281.944;Newark;6;8;5%;2.278,00;1.321,24
SO - 0005807;Online;06/04/2020;09/04/2020;13/04/2020;USD;13;Todd Roberts;283;Ohio;OH;117531;279.789;Toledo;25;1;10%;1.708,50;1.178,87
SO - 0005808;Online;06/04/2020;09/04/2020;18/04/2020;USD;12;Carl Nguyen;165;Illinois;IL;43510;118.844;Milton;39;4;7,5%;5.902,70;4.958,27
SO - 0005809;In-Store;07/04/2020;30/04/2020;10/05/2020;USD;1;Adam Hernandez;51;California;CA;32685;109.830;Murrieta;16;4;7,5%;227,80;184,52
SO - 0005810;In-Store;07/04/2020;27/04/2020;01/05/2020;USD;11;Joshua Little;303;Tennessee;TN;81073;185.291;Knoxville;42;2;30%;1.902,80;1.217,79
SO - 0005811;Distributor;07/04/2020;23/04/2020;01/05/2020;USD;21;Samuel Fowler;250;Nevada;NV;43699;124.564;Enterprise;15;4;7,5%;3.966,40;2.895,47
SO - 0005812;Online;07/04/2020;09/04/2020;17/04/2020;USD;16;Anthony Berry;299;South Carolina;SC;37597;108.304;North Charleston;20;7;10%;1.085,40;716,36
SO - 0005813;Distributor;07/04/2020;29/04/2020;07/05/2020;USD;21;Samuel Fowler;3;Alabama;AL;76170;194.288;Mobile;42;1;20%;1.159,10;788,19
SO - 0005814;In-Store;07/04/2020;03/05/2020;05/05/2020;USD;1;Adam Hernandez;212;Maryland;MD;39893;102.116;Columbia;15;7;30%;5.226,00;4.442,10
SO - 0005815;Online;07/04/2020;14/04/2020;23/04/2020;USD;20;Anthony Torres;226;Missouri;MO;139555;315.685;St. Louis;4;2;7,5%;1.849,20;1.423,88
SO - 0005816;Online;07/04/2020;23/04/2020;02/05/2020;USD;14;Paul Holmes;257;Nevada;NV;60366;187.647;Sunrise Manor;17;5;10%;1.989,90;895,46
SO - 0005817;In-Store;07/04/2020;05/05/2020;09/05/2020;USD;4;Chris Armstrong;193;Indiana;IN;52540;142.010;Wayne;31;5;5%;3.959,70;3.167,76
SO - 0005818;Distributor;07/04/2020;24/04/2020;29/04/2020;USD;20;Anthony Torres;278;Ohio;OH;83684;197.542;Akron;23;7;10%;221,10;172,46
SO - 0005819;In-Store;07/04/2020;16/04/2020;17/04/2020;USD;5;Stephen Payne;46;California;CA;47427;161.103;Lancaster;14;5;5%;3.711,80;2.524,02
SO - 0005820;Online;07/04/2020;04/05/2020;14/05/2020;USD;13;Todd Roberts;103;Connecticut;CT;50367;147.629;Bridgeport;38;1;5%;3.939,60;3.348,66
SO - 0005821;In-Store;07/04/2020;21/04/2020;23/04/2020;USD;4;Chris Armstrong;268;New York;NY;76523;230.614;North Hempstead;21;4;20%;180,90;133,87
SO - 0005822;In-Store;08/04/2020;02/05/2020;07/05/2020;USD;7;Shawn Cook;210;Massachusetts;MA;68576;184.815;Worcester;7;1;15%;1.045,20;888,42
SO - 0005823;In-Store;08/04/2020;30/04/2020;10/05/2020;USD;7;Shawn Cook;241;New Hampshire;NH;45145;110.229;Manchester;27;2;40%;958,10;440,73
SO - 0005824;Online;08/04/2020;25/04/2020;05/05/2020;USD;15;Roger Alexander;3;Alabama;AL;76170;194.288;Mobile;19;1;7,5%;1.112,20;778,54
SO - 0005825;Online;09/04/2020;26/04/2020;27/04/2020;USD;12;Carl Nguyen;301;Tennessee;TN;70228;176.588;Chattanooga;25;4;10%;1.889,40;906,91
SO - 0005826;In-Store;09/04/2020;12/04/2020;13/04/2020;USD;5;Stephen Payne;267;New York;NY;3113535;8.550.405;New York City;22;1;7,5%;1.112,20;745,17
SO - 0005827;Online;09/04/2020;04/05/2020;08/05/2020;USD;17;Frank Brown;56;California;CA;42680;140.992;Orange;11;6;15%;268,00;203,68
SO - 0005828;Online;09/04/2020;17/04/2020;24/04/2020;USD;16;Anthony Berry;323;Texas;TX;814599;2.296.224;Houston;38;1;40%;3.437,10;2.199,74
SO - 0005829;In-Store;09/04/2020;07/05/2020;10/05/2020;USD;5;Stephen Payne;135;Florida;FL;105443;257.083;St. Petersburg;17;7;15%;1.125,60;574,06
SO - 0005830;In-Store;09/04/2020;27/04/2020;07/05/2020;USD;12;Carl Nguyen;304;Tennessee;TN;249775;655.770;Memphis;5;1;15%;1.078,70;722,73
SO - 0005831;Online;10/04/2020;06/05/2020;07/05/2020;USD;17;Frank Brown;317;Texas;TX;43745;131.044;Denton;3;6;10%;268,00;176,88
SO - 0005832;Online;10/04/2020;01/05/2020;11/05/2020;USD;18;Shawn Wallace;351;Virginia;VA;81518;235.429;Chesapeake;12;4;5%;2.244,50;1.122,25
SO - 0005833;In-Store;10/04/2020;26/04/2020;01/05/2020;USD;4;Chris Armstrong;281;Ohio;OH;334724;850.106;Columbus;22;8;7,5%;2.914,50;1.690,41
SO - 0005834;In-Store;10/04/2020;30/04/2020;09/05/2020;USD;12;Carl Nguyen;5;Arkansas;AR;79902;197.992;Little Rock;30;1;7,5%;3.906,10;2.538,97
SO - 0005835;In-Store;10/04/2020;16/04/2020;25/04/2020;USD;9;Joshua Ryan;159;Illinois;IL;33089;104.288;Elgin (Township);13;2;30%;1.092,10;709,87
SO - 0005836;Online;10/04/2020;28/04/2020;08/05/2020;USD;14;Paul Holmes;43;California;CA;36667;111.666;Inglewood;30;1;20%;670,00;569,50
SO - 0005837;Distributor;10/04/2020;16/04/2020;18/04/2020;USD;22;Joe Price;339;Texas;TX;36409;100.450;San Angelo;26;8;7,5%;1.246,20;660,49
SO - 0005838;In-Store;10/04/2020;28/04/2020;29/04/2020;USD;6;Joshua Bennett;313;Texas;TX;45263;133.168;Carrollton;45;4;10%;3.859,20;2.817,22
SO - 0005839;In-Store;10/04/2020;12/04/2020;15/04/2020;USD;1;Adam Hernandez;82;California;CA;32835;112.011;Temecula;39;5;7,5%;3.872,60;2.865,72
SO - 0005840;Online;10/04/2020;04/05/2020;13/05/2020;USD;12;Carl Nguyen;33;California;CA;45041;151.451;Escondido;29;7;7,5%;857,60;488,83
SO - 0005841;Wholesale;11/04/2020;23/04/2020;26/04/2020;USD;27;Shawn Torres;88;California;CA;30451;100.890;Vista;42;1;30%;268,00;163,48
SO - 0005842;Distributor;11/04/2020;14/04/2020;18/04/2020;USD;24;Roy Rice;174;Illinois;IL;69780;173.110;Rockford (Township);14;6;5%;254,60;155,31
SO - 0005843;Distributor;11/04/2020;27/04/2020;06/05/2020;USD;21;Samuel Fowler;329;Texas;TX;42225;140.269;McAllen;44;5;15%;2.479,00;1.041,18
SO - 0005844;Online;11/04/2020;15/04/2020;17/04/2020;USD;13;Todd Roberts;256;Nevada;NV;70748;183.937;Spring Valley;7;2;7,5%;2.211,00;1.127,61
SO - 0005136;In-Store;18/01/2020;31/01/2020;07/02/2020;USD;5;Stephen Payne;140;Georgia;GA;185820;463.878;Atlanta;1;3;5%;1.058,60;804,54
SO - 0005846;In-Store;11/04/2020;20/04/2020;23/04/2020;USD;7;Shawn Cook;358;Washington;WA;42079;108.010;Everett;8;1;7,5%;1.855,90;1.280,57
SO - 0005847;In-Store;11/04/2020;16/04/2020;18/04/2020;USD;5;Stephen Payne;87;California;CA;41730;130.104;Visalia;39;2;7,5%;3.819,00;2.482,35
SO - 0005848;Online;11/04/2020;23/04/2020;30/04/2020;USD;14;Paul Holmes;145;Georgia;GA;52798;145.674;Savannah;4;6;10%;917,90;780,22
SO - 0005849;Online;11/04/2020;04/05/2020;07/05/2020;USD;16;Anthony Berry;282;Ohio;OH;57316;140.599;Dayton;25;2;10%;3.778,80;1.662,67
SO - 0005850;Wholesale;12/04/2020;21/04/2020;30/04/2020;USD;28;Carlos Miller;16;California;CA;99670;350.742;Anaheim;37;4;15%;3.919,50;2.665,26
SO - 0005851;Distributor;12/04/2020;09/05/2020;19/05/2020;USD;24;Roy Rice;88;California;CA;30451;100.890;Vista;36;6;7,5%;1.092,10;917,36
SO - 0005852;In-Store;12/04/2020;29/04/2020;06/05/2020;USD;2;Keith Griffin;9;Arizona;AZ;168914;471.825;Mesa;13;2;5%;938,00;750,40
SO - 0005853;In-Store;12/04/2020;02/05/2020;05/05/2020;USD;10;Jonathan Hawkins;85;California;CA;41216;121.253;Vallejo;15;1;15%;2.244,50;1.077,36
SO - 0005854;Online;12/04/2020;04/05/2020;10/05/2020;USD;16;Anthony Berry;315;Texas;TX;114817;324.074;Corpus Christi;26;1;5%;2.338,30;1.215,92
SO - 0005855;Online;12/04/2020;25/04/2020;30/04/2020;USD;15;Roger Alexander;156;Illinois;IL;1035436;2.720.546;Chicago;12;7;5%;3.899,40;2.456,62
SO - 0005856;Wholesale;12/04/2020;27/04/2020;28/04/2020;USD;28;Carlos Miller;303;Tennessee;TN;81073;185.291;Knoxville;30;1;7,5%;1.051,90;852,04
SO - 0005857;In-Store;12/04/2020;15/04/2020;25/04/2020;USD;3;Jerry Green;4;Alabama;AL;79866;200.602;Montgomery;43;5;20%;1.072,00;600,32
SO - 0005858;Wholesale;13/04/2020;28/04/2020;30/04/2020;USD;27;Shawn Torres;84;California;CA;55377;148.475;Torrance;45;8;10%;1.768,80;955,15
SO - 0005859;Distributor;13/04/2020;06/05/2020;14/05/2020;USD;21;Samuel Fowler;157;Illinois;IL;56956;149.401;Downers Grove (Township);32;4;15%;180,90;144,72
SO - 0005860;Online;13/04/2020;05/05/2020;07/05/2020;USD;17;Frank Brown;260;New York;NY;161116;489.278;Brookhaven;32;7;20%;241,20;161,60
SO - 0005861;Online;13/04/2020;11/05/2020;14/05/2020;USD;20;Anthony Torres;342;Texas;TX;37644;103.700;Tyler;6;1;7,5%;1.869,30;972,04
SO - 0005862;In-Store;13/04/2020;30/04/2020;09/05/2020;USD;3;Jerry Green;363;Washington;WA;79026;207.948;Tacoma;30;2;7,5%;2.921,20;2.366,17
SO - 0005863;Distributor;14/04/2020;18/04/2020;28/04/2020;USD;24;Roy Rice;300;South Dakota;SD;65538;171.544;Sioux Falls;46;7;5%;1.795,60;1.059,40
SO - 0005864;In-Store;14/04/2020;16/04/2020;19/04/2020;USD;1;Adam Hernandez;284;Oklahoma;OK;37246;106.563;Broken Arrow;7;3;10%;911,20;492,05
SO - 0005865;Online;14/04/2020;25/04/2020;30/04/2020;USD;18;Shawn Wallace;100;Colorado;CO;43249;109.412;Pueblo;45;7;5%;5.601,20;2.632,56
SO - 0005866;In-Store;14/04/2020;07/05/2020;11/05/2020;USD;1;Adam Hernandez;230;North Carolina;NC;305488;827.097;Charlotte;32;2;5%;5.313,10;3.028,47
SO - 0005867;Wholesale;14/04/2020;08/05/2020;16/05/2020;USD;28;Carlos Miller;69;California;CA;41029;109.708;San Buenaventura (Ventura);30;4;20%;991,60;773,45
SO - 0005868;Online;14/04/2020;27/04/2020;30/04/2020;USD;19;Nicholas Cunningham;23;California;CA;34512;104.180;Clovis;4;8;5%;2.994,90;2.126,38
SO - 0005869;In-Store;14/04/2020;27/04/2020;30/04/2020;USD;9;Joshua Ryan;166;Illinois;IL;50073;147.100;Naperville;32;8;5%;2.003,30;1.201,98
SO - 0005870;In-Store;14/04/2020;08/05/2020;11/05/2020;USD;2;Keith Griffin;69;California;CA;41029;109.708;San Buenaventura (Ventura);10;3;5%;1.132,30;713,35
SO - 0005871;Distributor;14/04/2020;01/05/2020;03/05/2020;USD;21;Samuel Fowler;172;Illinois;IL;54255;151.772;Proviso;2;3;20%;991,60;743,70
SO - 0005872;In-Store;14/04/2020;21/04/2020;22/04/2020;USD;7;Shawn Cook;218;Michigan;MI;53493;135.358;Warren;42;4;15%;1.018,40;549,94
SO - 0005873;Online;14/04/2020;22/04/2020;02/05/2020;USD;19;Nicholas Cunningham;366;Wisconsin;WI;104087;248.951;Madison;15;2;7,5%;690,10;496,87
SO - 0005874;In-Store;15/04/2020;07/05/2020;13/05/2020;USD;5;Stephen Payne;148;Iowa;IA;41100;102.582;Davenport;14;8;10%;1.849,20;1.275,95
SO - 0005875;In-Store;15/04/2020;19/04/2020;28/04/2020;USD;11;Joshua Little;190;Indiana;IN;38889;103.365;Warren;46;1;7,5%;2.378,50;1.902,80
SO - 0005876;Online;15/04/2020;21/04/2020;25/04/2020;USD;19;Nicholas Cunningham;222;Missouri;MO;45024;119.108;Columbia;42;6;7,5%;3.953,00;2.767,10
SO - 0005877;Online;15/04/2020;27/04/2020;05/05/2020;USD;19;Nicholas Cunningham;271;New York;NY;34566;135.257;Ramapo;12;8;30%;1.072,00;793,28
SO - 0005878;Distributor;15/04/2020;12/05/2020;16/05/2020;USD;21;Samuel Fowler;35;California;CA;49975;207.460;Fontana;42;5;20%;207,70;120,47
SO - 0005879;In-Store;15/04/2020;27/04/2020;28/04/2020;USD;4;Chris Armstrong;345;Utah;UT;32506;115.264;Provo;13;6;7,5%;227,80;109,34
SO - 0005880;In-Store;15/04/2020;11/05/2020;13/05/2020;USD;11;Joshua Little;33;California;CA;45041;151.451;Escondido;47;5;40%;2.365,10;1.348,11
SO - 0005881;Online;16/04/2020;22/04/2020;27/04/2020;USD;19;Nicholas Cunningham;98;Colorado;CO;37157;101.350;Highlands Ranch;4;8;5%;5.118,80;2.149,90
SO - 0005882;Online;16/04/2020;29/04/2020;02/05/2020;USD;13;Todd Roberts;295;Pennsylvania;PA;132468;304.391;Pittsburgh;11;1;7,5%;6.344,90;3.743,49
SO - 0005370;Online;16/02/2020;22/02/2020;23/02/2020;USD;18;Shawn Wallace;82;California;CA;32835;112.011;Temecula;1;3;5%;1.085,40;629,53
SO - 0005884;In-Store;16/04/2020;11/05/2020;17/05/2020;USD;4;Chris Armstrong;202;Louisiana;LA;50025;127.657;Lafayette;31;5;15%;1.735,30;1.180,00
SO - 0005885;In-Store;16/04/2020;03/05/2020;11/05/2020;USD;11;Joshua Little;233;North Carolina;NC;114080;285.342;Greensboro;37;2;5%;1.132,30;634,09
SO - 0005886;Online;17/04/2020;03/05/2020;04/05/2020;USD;18;Shawn Wallace;252;Nevada;NV;215614;623.747;Las Vegas;22;5;7,5%;221,10;145,93
SO - 0005887;Distributor;17/04/2020;02/05/2020;03/05/2020;USD;24;Roy Rice;299;South Carolina;SC;37597;108.304;North Charleston;30;3;7,5%;1.226,10;514,96
SO - 0005888;Online;17/04/2020;15/05/2020;25/05/2020;USD;17;Frank Brown;8;Arizona;AZ;79152;240.126;Glendale;2;6;5%;3.926,20;3.140,96
SO - 0005889;Online;17/04/2020;14/05/2020;20/05/2020;USD;17;Frank Brown;114;Florida;FL;40453;106.604;Brandon;4;5;5%;2.532,60;1.696,84
SO - 0005890;Online;17/04/2020;08/05/2020;10/05/2020;USD;16;Anthony Berry;240;Nebraska;NE;173764;443.885;Omaha;19;7;7,5%;2.003,30;901,49
SO - 0005891;Online;17/04/2020;09/05/2020;12/05/2020;USD;19;Nicholas Cunningham;69;California;CA;41029;109.708;San Buenaventura (Ventura);26;4;10%;1.969,80;1.654,63
SO - 0005892;Online;17/04/2020;05/05/2020;10/05/2020;USD;14;Paul Holmes;120;Florida;FL;47968;130.128;Gainesville;25;1;10%;247,90;193,36
SO - 0005893;Distributor;17/04/2020;10/05/2020;11/05/2020;USD;23;Douglas Tucker;138;Florida;FL;41474;106.779;West Palm Beach;9;7;10%;1.782,20;1.514,87
SO - 0005894;In-Store;18/04/2020;01/05/2020;04/05/2020;USD;7;Shawn Cook;280;Ohio;OH;167100;388.072;Cleveland;27;3;10%;3.852,50;2.234,45
SO - 0005895;Wholesale;18/04/2020;12/05/2020;13/05/2020;USD;27;Shawn Torres;68;California;CA;57580;216.108;San Bernardino;39;5;30%;5.721,80;4.863,53
SO - 0005896;In-Store;18/04/2020;04/05/2020;05/05/2020;USD;2;Keith Griffin;221;Minnesota;MN;112988;300.851;St. Paul;21;7;5%;2.452,20;1.642,97
SO - 0005897;In-Store;18/04/2020;05/05/2020;08/05/2020;USD;9;Joshua Ryan;364;Washington;WA;66417;172.860;Vancouver;25;3;7,5%;857,60;548,86
