Ordernumber,Saleschannel,Orderdate,Shipdate,Deliverydate,Currencycode,Salesteamid,SalesteamName,Storid,Statename,Statecode,Householdincome,Population,Cityname,Productid,Productname,Orderquantity,DiscountApplied,Unitprice,UnitCost,Revenue,Profit,,
SO - 0006504,In-Store,2020-06-28,2020-07-25,2020-08-04,USD,8,George Lewis,136,Florida,FL,74388,189907,Tallahassee,28,Phones,3,7.50%,2807.3,2049.33,631.64,-1417.69,,
SO - 0006938,In-Store,2020-08-18,2020-08-23,2020-08-24,USD,10,Jonathan Hawkins,238,North Dakota,ND,49962,118523,Fargo,4,Serveware,3,5%,3296.4,1911.91,494.46,-1417.45,,
SO - 0008013,Distributor,2020-12-21,2020-12-30,2020-12-31,USD,23,Douglas Tucker,73,California,CA,37861,103536,San Mateo,7,Dinnerware,3,7.50%,2378.5,1950.37,535.16,-1415.21,,
SO - 0005839,In-Store,2020-04-10,2020-04-12,2020-04-15,USD,1,Adam Hernandez,82,California,CA,32835,112011,Temecula,39,Floor Lamps,5,7.50%,3872.6,2865.72,1452.23,-1413.5,,
SO - 0005188,In-Store,2020-01-24,2020-01-29,2020-02-08,USD,10,Jonathan Hawkins,55,California,CA,47375,171214,Ontario,9,Baseball,3,5%,3926.2,2002.36,588.93,-1413.43,,
SO - 0007210,In-Store,2020-09-20,2020-10-07,2020-10-11,USD,8,George Lewis,348,Utah,UT,36213,136208,West Valley City,32,Vases,1,5%,2666.6,1546.63,133.33,-1413.3,,
SO - 0006120,Distributor,2020-05-15,2020-05-26,2020-06-03,USD,23,Douglas Tucker,144,Georgia,GA,43058,105330,Sandy Springs,17,Furniture Cushions,1,5%,2391.9,1530.82,119.6,-1411.22,,
SO - 0007514,Distributor,2020-10-24,2020-11-10,2020-11-15,USD,23,Douglas Tucker,52,California,CA,27225,107140,Norwalk,30,Wall Coverings,1,20%,2519.2,1914.59,503.84,-1410.75,,
SO - 0006222,In-Store,2020-05-27,2020-06-20,2020-06-21,USD,9,Joshua Ryan,116,Florida,FL,46234,113003,Clearwater,42,Bean Bags,2,7.50%,3912.8,1995.53,586.92,-1408.61,,
SO - 0007608,Wholesale,2020-11-03,2020-11-18,2020-11-22,USD,25,Patrick Graham,294,Pennsylvania,PA,581050,1567442,Philadelphia,21,Floral,2,5%,1983.2,1606.39,198.32,-1408.07,,
SO - 0006805,Online,2020-08-02,2020-08-21,2020-08-25,USD,15,Roger Alexander,13,Arizona,AZ,45054,128422,Surprise,11,Ornaments,3,5%,2385.2,1765.05,357.78,-1407.27,,
SO - 0005330,In-Store,2020-02-11,2020-03-08,2020-03-13,USD,7,Shawn Cook,191,Indiana,IN,58263,137215,Washington,27,Wreaths,1,7.50%,3852.5,1695.1,288.94,-1406.16,,
SO - 0005444,Online,2020-02-23,2020-03-13,2020-03-23,USD,13,Todd Roberts,76,California,CA,59247,182371,Santa Clarita,43,Festive,7,5%,4013.3,2809.31,1404.66,-1404.66,,
SO - 0006867,Distributor,2020-08-10,2020-08-23,2020-08-27,USD,22,Joe Price,336,Texas,TX,103937,283558,Plano,20,Bar Tools,6,5%,3899.4,2573.6,1169.82,-1403.78,,
SO - 0006466,Wholesale,2020-06-24,2020-06-27,2020-07-06,USD,26,Donald Reynolds,158,Illinois,IL,35075,112111,Elgin,37,Platters,5,7.50%,3953,2885.69,1482.38,-1403.32,,
SO - 0006398,In-Store,2020-06-15,2020-06-27,2020-07-04,USD,12,Carl Nguyen,70,California,CA,485091,1394928,San Diego,7,Dinnerware,4,5%,3417,2084.37,683.4,-1400.97,,
SO - 0005059,In-Store,2020-01-10,2020-01-28,2020-01-30,USD,8,George Lewis,109,Connecticut,CT,46974,128874,Stamford,3,Table Lamps,4,5%,6090.3,2618.83,1218.06,-1400.77,,
SO - 0007920,Distributor,2020-12-09,2020-12-12,2020-12-21,USD,21,Samuel Fowler,366,Wisconsin,WI,104087,248951,Madison,45,Home Fragrances,1,10%,2412,1640.16,241.2,-1398.96,,
SO - 0006780,Wholesale,2020-07-29,2020-08-24,2020-08-30,USD,26,Donald Reynolds,322,Texas,TX,59196,187809,Grand Prairie,8,Cocktail Glasses,1,7.50%,3926.2,1688.27,294.47,-1393.8,,
SO - 0005449,Online,2020-02-23,2020-03-07,2020-03-11,USD,20,Anthony Torres,101,Colorado,CO,42679,133451,Thornton,10,Blankets,1,10%,3979.8,1790.91,397.98,-1392.93,,
SO - 0007007,In-Store,2020-08-27,2020-09-19,2020-09-28,USD,1,Adam Hernandez,80,California,CA,92440,305658,Stockton,34,Bedroom Furniture,1,15%,1989.9,1691.42,298.49,-1392.93,,
SO - 0007324,Online,2020-10-02,2020-10-12,2020-10-18,USD,19,Nicholas Cunningham,133,Florida,FL,59221,179413,Port St. Lucie,15,Outdoor Furniture,3,5%,1989.9,1691.42,298.49,-1392.93,,
SO - 0005648,Online,2020-03-19,2020-04-09,2020-04-12,USD,20,Anthony Torres,47,California,CA,164406,474140,Long Beach,20,Bar Tools,3,5%,2626.4,1785.95,393.96,-1391.99,,
SO - 0007516,Wholesale,2020-10-25,2020-10-29,2020-11-03,USD,26,Donald Reynolds,25,California,CA,48156,164226,Corona,37,Platters,7,5%,3758.7,2706.26,1315.55,-1390.72,,
SO - 0007935,Wholesale,2020-12-12,2020-12-27,2020-12-30,USD,26,Donald Reynolds,92,Colorado,CO,42165,107349,Boulder,2,Photo Frames,1,15%,2010,1688.4,301.5,-1386.9,,
SO - 0005664,Online,2020-03-21,2020-03-31,2020-04-07,USD,13,Todd Roberts,193,Indiana,IN,52540,142010,Wayne,20,Bar Tools,4,5%,5125.5,2408.99,1025.1,-1383.89,,
SO - 0006144,Online,2020-05-18,2020-06-03,2020-06-12,USD,13,Todd Roberts,14,Arizona,AZ,64810,175826,Tempe,34,Bedroom Furniture,2,7.50%,2345,1735.3,351.75,-1383.55,,
SO - 0006209,Wholesale,2020-05-25,2020-06-07,2020-06-10,USD,26,Donald Reynolds,260,New York,NY,161116,489278,Brookhaven,43,Festive,6,7.50%,3457.2,2938.62,1555.74,-1382.88,,
SO - 0007130,In-Store,2020-09-11,2020-09-21,2020-09-25,USD,10,Jonathan Hawkins,281,Ohio,OH,334724,850106,Columbus,6,Computers,1,5%,1768.8,1468.1,88.44,-1379.66,,
SO - 0005573,Online,2020-03-09,2020-03-21,2020-03-26,USD,20,Anthony Torres,277,New York,NY,73073,201116,Yonkers,10,Blankets,5,5%,2378.5,1974.16,594.63,-1379.53,,
SO - 0006632,In-Store,2020-07-13,2020-07-21,2020-07-22,USD,1,Adam Hernandez,41,California,CA,46713,158289,Hayward,3,Table Lamps,4,10%,3939.6,2954.7,1575.84,-1378.86,,
SO - 0006228,Distributor,2020-05-27,2020-06-12,2020-06-17,USD,21,Samuel Fowler,54,California,CA,60493,175691,Oceanside,45,Home Fragrances,7,7.50%,5406.9,4217.38,2838.62,-1378.76,,
SO - 0006872,Online,2020-08-11,2020-08-28,2020-09-07,USD,18,Shawn Wallace,278,Ohio,OH,83684,197542,Akron,44,Pillows,2,7.50%,2291.4,1718.55,343.71,-1374.84,,
SO - 0005083,In-Store,2020-01-12,2020-01-31,2020-02-09,USD,7,Shawn Cook,49,California,CA,70481,211266,Modesto,30,Wall Coverings,3,5%,2412,1736.64,361.8,-1374.84,,
SO - 0005263,Distributor,2020-02-03,2020-02-22,2020-02-26,USD,25,Patrick Graham,311,Texas,TX,46193,118129,Beaumont,13,Bakeware,1,7.50%,1943,1515.54,145.73,-1369.82,,
SO - 0005458,In-Store,2020-02-24,2020-03-14,2020-03-24,USD,9,Joshua Ryan,285,Oklahoma,OK,44911,120284,Norman,23,Accessories,6,7.50%,3504.1,2943.44,1576.85,-1366.6,,
SO - 0006003,In-Store,2020-04-30,2020-05-22,2020-05-24,USD,1,Adam Hernandez,80,California,CA,92440,305658,Stockton,34,Bedroom Furniture,1,10%,1949.7,1559.76,194.97,-1364.79,,
SO - 0007586,Online,2020-10-31,2020-11-09,2020-11-15,USD,12,Carl Nguyen,325,Texas,TX,46952,140806,Killeen,32,Vases,3,5%,2525.9,1742.87,378.89,-1363.99,,
SO - 0006344,In-Store,2020-06-08,2020-07-04,2020-07-07,USD,11,Joshua Little,24,California,CA,45409,128667,Concord,23,Accessories,5,5%,2519.2,1990.17,629.8,-1360.37,,
SO - 0007733,Distributor,2020-11-17,2020-12-08,2020-12-15,USD,23,Douglas Tucker,21,California,CA,42791,113453,Carlsbad,11,Ornaments,4,5%,3195.9,1981.46,639.18,-1342.28,,
SO - 0006112,In-Store,2020-05-15,2020-05-23,2020-05-28,USD,2,Keith Griffin,248,New Mexico,NM,222098,559121,Albuquerque,20,Bar Tools,4,7.50%,5587.8,3017.41,1676.34,-1341.07,,
SO - 0005359,In-Store,2020-02-15,2020-03-02,2020-03-07,USD,6,Joshua Bennett,162,Illinois,IL,45377,119818,Lisle (Township),35,Table Linens,1,5%,1762.1,1427.3,88.11,-1339.2,,
SO - 0005018,Distributor,2020-01-07,2020-01-09,2020-01-10,USD,21,Samuel Fowler,223,Missouri,MO,48313,117255,Independence,32,Vases,1,7.50%,3993.2,1637.21,299.49,-1337.72,,
SO - 0007218,Distributor,2020-09-20,2020-10-16,2020-10-25,USD,25,Patrick Graham,213,Michigan,MI,47179,117070,Ann Arbor,42,Bean Bags,1,5%,1855.9,1429.04,92.8,-1336.25,,
SO - 0007298,Online,2020-09-29,2020-10-06,2020-10-16,USD,14,Paul Holmes,229,North Carolina,NC,56034,159769,Cary,36,Clocks,5,7.50%,3142.3,2513.84,1178.36,-1335.48,,
SO - 0007438,Distributor,2020-10-15,2020-10-26,2020-10-28,USD,24,Roy Rice,315,Texas,TX,114817,324074,Corpus Christi,43,Festive,6,0.05,3919.5,2508.48,1175.85,-1332.63,,
SO - 0006914,In-Store,2020-08-15,2020-08-27,2020-08-31,USD,7,Shawn Cook,217,Michigan,MI,49444,132052,Sterling Heights,32,Vases,4,5%,5540.9,2438,1108.18,-1329.82,,
SO - 0005790,In-Store,2020-04-04,2020-04-17,2020-04-27,USD,8,George Lewis,17,California,CA,33718,110542,Antioch,5,Bathroom Furniture,2,5%,2371.8,1565.39,237.18,-1328.21,,
SO - 0005477,Distributor,2020-02-26,2020-03-23,2020-03-27,USD,23,Douglas Tucker,367,Wisconsin,WI,230807,600155,Milwaukee,18,Basketball,1,7.50%,1996.6,1477.48,149.75,-1327.74,,
SO - 0006787,Distributor,2020-07-30,2020-08-09,2020-08-17,USD,25,Patrick Graham,150,Idaho,ID,86916,218281,Boise City,38,Wardrobes,8,5%,3484,2717.52,1393.6,-1323.92,,
SO - 0005576,Online,2020-03-09,2020-03-18,2020-03-27,USD,17,Frank Brown,53,California,CA,158424,419267,Oakland,14,Mirrors,2,10%,3892.7,2102.06,778.54,-1323.52,,
SO - 0005513,Distributor,2020-03-01,2020-03-05,2020-03-13,USD,22,Joe Price,342,Texas,TX,37644,103700,Tyler,30,Wall Coverings,6,5%,3303.1,2312.17,990.93,-1321.24,,
SO - 0006104,Online,2020-05-14,2020-06-07,2020-06-16,USD,20,Anthony Torres,181,Indiana,IN,39770,100453,Calumet,31,Candleholders,4,5%,3999.9,2119.95,799.98,-1319.97,,
SO - 0007369,In-Store,2020-10-07,2020-10-30,2020-11-06,USD,5,Stephen Payne,302,Tennessee,TN,51776,149176,Clarksville,37,Platters,4,5%,5272.9,2372.81,1054.58,-1318.23,,
SO - 0005708,In-Store,2020-03-27,2020-03-31,2020-04-02,USD,2,Keith Griffin,72,California,CA,314297,1026908,San Jose,10,Blankets,2,15%,2485.7,2063.13,745.71,-1317.42,,
SO - 0007044,Distributor,2020-08-31,2020-09-21,2020-09-26,USD,21,Samuel Fowler,201,Louisiana,LA,88476,228590,Baton Rouge,31,Candleholders,1,5%,1963.1,1413.43,98.16,-1315.28,,
SO - 0006136,In-Store,2020-05-17,2020-05-25,2020-05-28,USD,2,Keith Griffin,107,Connecticut,CT,49771,130322,New Haven,31,Candleholders,4,5%,3865.9,2087.59,773.18,-1314.41,,
SO - 0007022,Online,2020-08-29,2020-09-02,2020-09-07,USD,16,Anthony Berry,311,Texas,TX,46193,118129,Beaumont,40,Rugs,2,5%,2432.1,1556.54,243.21,-1313.33,,
SO - 0007492,Online,2020-10-22,2020-11-14,2020-11-18,USD,12,Carl Nguyen,180,Illinois,IL,47997,125730,York,6,Computers,3,5%,2981.5,1759.09,447.23,-1311.86,,
SO - 0007839,Online,2020-11-30,2020-12-16,2020-12-18,USD,19,Nicholas Cunningham,228,Montana,MT,44092,110263,Billings,33,Outdoor Decor,2,5%,3959.7,1702.67,395.97,-1306.7,,
SO - 0007099,Distributor,2020-09-06,2020-10-03,2020-10-09,USD,23,Douglas Tucker,2,Alabama,AL,78554,190582,Huntsville,10,Blankets,1,7.50%,3899.4,1598.75,292.46,-1306.3,,
SO - 0005046,Wholesale,2020-01-09,2020-01-26,2020-01-31,USD,27,Shawn Torres,128,Florida,FL,38474,137132,Miramar,24,Wall Frames,3,7.50%,2391.9,1841.76,538.18,-1303.59,,
SO - 0005561,In-Store,2020-03-07,2020-04-02,2020-04-12,USD,11,Joshua Little,49,California,CA,70481,211266,Modesto,9,Baseball,3,15%,3618,2930.58,1628.1,-1302.48,,
SO - 0006839,Online,2020-08-06,2020-08-28,2020-09-03,USD,18,Shawn Wallace,88,California,CA,30451,100890,Vista,37,Platters,3,5%,1876,1575.84,281.4,-1294.44,,
SO - 0006644,Online,2020-07-14,2020-08-02,2020-08-03,USD,19,Nicholas Cunningham,7,Arizona,AZ,73617,247542,Gilbert,47,Audio,3,7.50%,5507.4,2533.4,1239.17,-1294.24,,
SO - 0006832,Online,2020-08-05,2020-08-08,2020-08-10,USD,18,Shawn Wallace,257,Nevada,NV,60366,187647,Sunrise Manor,22,Wine Storage,4,10%,3912.8,2856.34,1565.12,-1291.22,,
SO - 0006225,Distributor,2020-05-27,2020-06-20,2020-06-23,USD,22,Joe Price,305,Tennessee,TN,44518,126118,Murfreesboro,24,Wall Frames,1,20%,2432.1,1775.43,486.42,-1289.01,,
SO - 0007744,Online,2020-11-18,2020-12-14,2020-12-24,USD,18,Shawn Wallace,97,Colorado,CO,33774,100883,Greeley,14,Mirrors,8,5%,4020,2894.4,1608,-1286.4,,
SO - 0006522,Online,2020-07-01,2020-07-11,2020-07-20,USD,15,Roger Alexander,29,California,CA,31400,127610,East Los Angeles,19,Vanities,2,7.50%,3892.7,1868.5,583.91,-1284.59,,
SO - 0006689,Online,2020-07-19,2020-08-01,2020-08-05,USD,13,Todd Roberts,74,California,CA,74757,335400,Santa Ana,13,Bakeware,5,5%,3886,2253.88,971.5,-1282.38,,
SO - 0007223,In-Store,2020-09-21,2020-10-07,2020-10-10,USD,8,George Lewis,352,Virginia,VA,52940,136454,Hampton,29,Pendants,1,7.50%,2539.3,1472.79,190.45,-1282.35,,
SO - 0006584,In-Store,2020-07-08,2020-07-18,2020-07-26,USD,1,Adam Hernandez,337,Texas,TX,40020,110815,Richardson,38,Wardrobes,1,20%,2787.2,1839.55,557.44,-1282.11,,
SO - 0006273,In-Store,2020-05-31,2020-06-19,2020-06-24,USD,1,Adam Hernandez,120,Florida,FL,47968,130128,Gainesville,20,Bar Tools,2,7.50%,3356.7,1779.05,503.51,-1275.55,,
SO - 0006176,Wholesale,2020-05-22,2020-06-17,2020-06-26,USD,26,Donald Reynolds,23,California,CA,34512,104180,Clovis,40,Rugs,2,7.50%,2452.2,1642.97,367.83,-1275.14,,
SO - 0005652,In-Store,2020-03-20,2020-04-14,2020-04-16,USD,7,Shawn Cook,66,California,CA,178185,490712,Sacramento,35,Table Linens,6,5%,3859.2,2431.3,1157.76,-1273.54,,
SO - 0005838,In-Store,2020-04-10,2020-04-28,2020-04-29,USD,6,Joshua Bennett,313,Texas,TX,45263,133168,Carrollton,45,Home Fragrances,4,10%,3859.2,2817.22,1543.68,-1273.54,,
SO - 0007267,Online,2020-09-25,2020-10-02,2020-10-08,USD,20,Anthony Torres,139,Georgia,GA,45389,123912,Athens,33,Outdoor Decor,1,10%,1695.1,1440.84,169.51,-1271.33,,
SO - 0005223,In-Store,2020-01-29,2020-02-10,2020-02-17,USD,4,Chris Armstrong,91,Colorado,CO,124031,359407,Aurora,29,Pendants,4,7.50%,2398.6,1990.84,719.58,-1271.26,,
SO - 0006283,Online,2020-06-01,2020-06-22,2020-06-30,USD,19,Nicholas Cunningham,128,Florida,FL,38474,137132,Miramar,8,Cocktail Glasses,2,5%,1688.4,1435.14,168.84,-1266.3,,
SO - 0006404,Wholesale,2020-06-16,2020-06-19,2020-06-20,USD,25,Patrick Graham,74,California,CA,74757,335400,Santa Ana,38,Wardrobes,2,5%,2010,1467.3,201,-1266.3,,
SO - 0006793,Wholesale,2020-07-30,2020-08-20,2020-08-26,USD,27,Shawn Torres,81,California,CA,55094,151754,Sunnyvale,32,Vases,6,7.50%,3953,3043.81,1778.85,-1264.96,,
SO - 0006901,Online,2020-08-14,2020-09-11,2020-09-13,USD,16,Anthony Berry,62,California,CA,25199,103132,Rialto,3,Table Lamps,1,5%,3242.8,1426.83,162.14,-1264.69,,
SO - 0006838,In-Store,2020-08-06,2020-09-03,2020-09-12,USD,4,Chris Armstrong,143,Georgia,GA,57025,153515,Macon,16,Stemware,6,5%,2525.9,2020.72,757.77,-1262.95,,
SO - 0007321,Online,2020-10-02,2020-10-05,2020-10-13,USD,14,Paul Holmes,248,New Mexico,NM,222098,559121,Albuquerque,4,Serveware,2,7.50%,2559.4,1638.02,383.91,-1254.11,,
SO - 0007763,In-Store,2020-11-21,2020-11-24,2020-11-29,USD,10,Jonathan Hawkins,239,Nebraska,NE,107574,277348,Lincoln,23,Accessories,8,5%,5969.7,3641.52,2387.88,-1253.64,,
SO - 0007035,Online,2020-08-30,2020-09-16,2020-09-23,USD,19,Nicholas Cunningham,300,South Dakota,SD,65538,171544,Sioux Falls,28,Phones,1,20%,2666.6,1786.62,533.32,-1253.3,,
SO - 0007829,Online,2020-11-29,2020-12-09,2020-12-17,USD,16,Anthony Berry,117,Florida,FL,40571,129485,Coral Springs,5,Bathroom Furniture,1,7.50%,2479,1437.82,185.93,-1251.9,,
SO - 0005056,In-Store,2020-01-10,2020-01-25,2020-02-02,USD,8,George Lewis,63,California,CA,36973,109708,Richmond,30,Wall Coverings,8,5%,3892.7,2802.74,1557.08,-1245.66,,
SO - 0007161,Online,2020-09-15,2020-10-03,2020-10-13,USD,14,Paul Holmes,221,Minnesota,MN,112988,300851,St. Paul,42,Bean Bags,8,5%,2894.4,2402.35,1157.76,-1244.59,,
SO - 0005363,Online,2020-02-15,2020-02-25,2020-03-01,USD,13,Todd Roberts,25,California,CA,48156,164226,Corona,23,Accessories,3,7.50%,2412,1784.88,542.7,-1242.18,,
SO - 0005726,Online,2020-03-29,2020-04-02,2020-04-03,USD,19,Nicholas Cunningham,56,California,CA,42680,140992,Orange,23,Accessories,7,7.50%,5768.7,4268.84,3028.57,-1240.27,,
SO - 0005727,Distributor,2020-03-29,2020-04-04,2020-04-13,USD,22,Joe Price,196,Kansas,KS,74830,186515,Overland Park,18,Basketball,4,5%,2291.4,1695.64,458.28,-1237.36,,
SO - 0007132,In-Store,2020-09-11,2020-09-25,2020-10-01,USD,5,Stephen Payne,210,Massachusetts,MA,68576,184815,Worcester,33,Outdoor Decor,3,5%,3979.8,1830.71,596.97,-1233.74,,
SO - 0005791,In-Store,2020-04-05,2020-04-24,2020-04-26,USD,6,Joshua Bennett,315,Texas,TX,114817,324074,Corpus Christi,2,Photo Frames,4,5%,3162.4,1865.82,632.48,-1233.34,,
SO - 0005314,Online,2020-02-10,2020-02-27,2020-03-04,USD,19,Nicholas Cunningham,166,Illinois,IL,50073,147100,Naperville,17,Furniture Cushions,7,5%,2680,2170.8,938,-1232.8,,
SO - 0007247,Wholesale,2020-09-22,2020-10-16,2020-10-19,USD,28,Carlos Miller,182,Indiana,IN,59947,147837,Center,27,Wreaths,5,5%,3852.5,2195.93,963.13,-1232.8,,
SO - 0006480,In-Store,2020-06-26,2020-07-01,2020-07-03,USD,8,George Lewis,360,Washington,WA,37994,100242,Renton,5,Bathroom Furniture,1,15%,2278,1571.82,341.7,-1230.12,,
SO - 0007004,Online,2020-08-26,2020-09-20,2020-09-29,USD,18,Shawn Wallace,286,Oklahoma,OK,232254,631346,Oklahoma City,24,Wall Frames,1,5%,1835.8,1321.78,91.79,-1229.99,,
SO - 0006490,In-Store,2020-06-27,2020-07-22,2020-07-31,USD,11,Joshua Little,271,New York,NY,34566,135257,Ramapo,2,Photo Frames,5,5%,2365.1,1821.13,591.28,-1229.85,,
SO - 0005079,Online,2020-01-12,2020-01-20,2020-01-21,USD,17,Frank Brown,83,California,CA,45912,129339,Thousand Oaks,46,Sculptures,5,10%,3825.7,3137.07,1912.85,-1224.22,,
SO - 0006842,Online,2020-08-06,2020-08-19,2020-08-29,USD,14,Paul Holmes,332,Texas,TX,43214,132950,Midland,34,Bedroom Furniture,6,5%,6103.7,3051.85,1831.11,-1220.74,,
SO - 0006437,Online,2020-06-20,2020-07-18,2020-07-24,USD,16,Anthony Berry,28,California,CA,32738,114219,Downey,12,Dining Furniture,8,5%,3048.5,2438.8,1219.4,-1219.4,,
SO - 0006807,Online,2020-08-02,2020-08-26,2020-09-03,USD,14,Paul Holmes,312,Texas,TX,51563,183887,Brownsville,31,Candleholders,1,7.50%,1721.9,1343.08,129.14,-1213.94,,
SO - 0007661,Distributor,2020-11-10,2020-11-15,2020-11-18,USD,24,Roy Rice,204,Louisiana,LA,153140,389617,New Orleans,13,Bakeware,8,0.08,5031.7,4226.63,3019.02,-1207.61,,
SO - 0005464,In-Store,2020-02-25,2020-03-03,2020-03-13,USD,4,Chris Armstrong,340,Texas,TX,488645,1469845,San Antonio,15,Outdoor Furniture,6,7.50%,6036.7,3923.86,2716.52,-1207.34,,
SO - 0007546,Online,2020-10-28,2020-11-22,2020-12-02,USD,13,Todd Roberts,77,California,CA,27365,105093,Santa Maria,21,Floral,2,5%,1748.7,1381.47,174.87,-1206.6,,
SO - 0005845,Online,2020-04-11,2020-05-04,2020-05-08,USD,16,Anthony Berry,288,Oregon,OR,66093,163460,Eugene,1,Cookware,4,5%,2412,1688.4,482.4,-1206,,
SO - 0007650,Online,2020-11-08,2020-11-18,2020-11-20,USD,14,Paul Holmes,337,Texas,TX,40020,110815,Richardson,27,Wreaths,5,10%,5239.4,3824.76,2619.7,-1205.06,,
SO - 0007520,In-Store,2020-10-25,2020-11-12,2020-11-16,USD,9,Joshua Ryan,80,California,CA,92440,305658,Stockton,34,Bedroom Furniture,4,7.50%,3879.3,2366.37,1163.79,-1202.58,,
SO - 0005934,Online,2020-04-23,2020-04-27,2020-05-05,USD,16,Anthony Berry,160,Illinois,IL,32297,101296,Hanover,33,Outdoor Decor,1,10%,3865.9,1585.02,386.59,-1198.43,,
SO - 0005291,Online,2020-02-07,2020-03-03,2020-03-05,USD,20,Anthony Torres,173,Illinois,IL,58559,148278,Rockford,4,Serveware,2,5%,1815.7,1379.93,181.57,-1198.36,,
SO - 0005255,Online,2020-02-02,2020-02-27,2020-03-06,USD,17,Frank Brown,21,California,CA,42791,113453,Carlsbad,15,Outdoor Furniture,2,7.50%,1929.6,1485.79,289.44,-1196.35,,
SO - 0007786,Online,2020-11-23,2020-11-29,2020-12-04,USD,14,Paul Holmes,265,New York,NY,101387,336113,Islip,4,Serveware,3,5%,1755.4,1456.98,263.31,-1193.67,,
SO - 0006065,In-Store,2020-05-09,2020-06-05,2020-06-13,USD,9,Joshua Ryan,26,California,CA,40908,113204,Costa Mesa,6,Computers,4,15%,6277.9,4959.54,3766.74,-1192.8,,
SO - 0005138,Wholesale,2020-01-19,2020-02-02,2020-02-05,USD,28,Carlos Miller,340,Texas,TX,488645,1469845,San Antonio,26,Candles,3,7.50%,5540.9,2438,1246.7,-1191.29,,
SO - 0005667,Distributor,2020-03-22,2020-04-19,2020-04-26,USD,23,Douglas Tucker,225,Missouri,MO,71268,166810,Springfield,10,Blankets,4,10%,3966.4,2776.48,1586.56,-1189.92,,
SO - 0007696,Online,2020-11-14,2020-12-12,2020-12-14,USD,13,Todd Roberts,86,California,CA,31886,122225,Victorville,30,Wall Coverings,3,5%,2371.8,1541.67,355.77,-1185.9,,
SO - 0005574,Wholesale,2020-03-09,2020-03-26,2020-04-05,USD,27,Shawn Torres,308,Texas,TX,74769,198645,Amarillo,36,Clocks,3,5%,3289.7,1677.75,493.46,-1184.29,,
SO - 0005951,Online,2020-04-25,2020-04-30,2020-05-09,USD,20,Anthony Torres,33,California,CA,45041,151451,Escondido,29,Pendants,6,7.50%,3819,2902.44,1718.55,-1183.89,,
SO - 0007437,Online,2020-10-15,2020-10-31,2020-11-07,USD,13,Todd Roberts,100,Colorado,CO,43249,109412,Pueblo,29,Pendants,6,7.50%,3819,2902.44,1718.55,-1183.89,,
SO - 0006791,Distributor,2020-07-30,2020-08-15,2020-08-18,USD,23,Douglas Tucker,99,Colorado,CO,63159,152597,Lakewood,12,Dining Furniture,6,7.50%,5380.1,3604.67,2421.05,-1183.62,,
SO - 0005719,In-Store,2020-03-29,2020-04-14,2020-04-24,USD,5,Stephen Payne,257,Nevada,NV,60366,187647,Sunrise Manor,30,Wall Coverings,5,5%,2231.1,1740.26,557.78,-1182.48,,
SO - 0005649,In-Store,2020-03-19,2020-04-15,2020-04-17,USD,8,George Lewis,283,Ohio,OH,117531,279789,Toledo,18,Basketball,3,5%,2003.3,1482.44,300.5,-1181.95,,
SO - 0007538,Online,2020-10-27,2020-11-08,2020-11-17,USD,14,Paul Holmes,133,Florida,FL,59221,179413,Port St. Lucie,28,Phones,6,5%,2566.1,1950.24,769.83,-1180.41,,
SO - 0005710,Wholesale,2020-03-28,2020-04-09,2020-04-10,USD,27,Shawn Torres,79,California,CA,41972,126788,Simi Valley,34,Bedroom Furniture,2,7.50%,2358.4,1532.96,353.76,-1179.2,,
SO - 0006575,Distributor,2020-07-07,2020-08-02,2020-08-09,USD,24,Roy Rice,120,Florida,FL,47968,130128,Gainesville,31,Candleholders,1,0.40,2680,2251.2,1072,-1179.2,,
SO - 0006756,Online,2020-07-26,2020-08-18,2020-08-26,USD,14,Paul Holmes,346,Utah,UT,75330,192672,Salt Lake City,19,Vanities,3,15%,3912.8,2934.6,1760.76,-1173.84,,
SO - 0006219,Wholesale,2020-05-27,2020-06-07,2020-06-14,USD,27,Shawn Torres,118,Florida,FL,33707,100882,Davie,18,Basketball,2,5%,3544.3,1524.05,354.43,-1169.62,,
SO - 0007640,Online,2020-11-07,2020-11-15,2020-11-20,USD,16,Anthony Berry,174,Illinois,IL,69780,173110,Rockford (Township),5,Bathroom Furniture,2,10%,2385.2,1645.79,477.04,-1168.75,,
SO - 0006990,Distributor,2020-08-25,2020-09-20,2020-09-25,USD,24,Roy Rice,272,New York,NY,85741,209802,Rochester,33,Outdoor Decor,2,0.08,2291.4,1512.32,343.71,-1168.61,,
SO - 0007821,Wholesale,2020-11-28,2020-12-20,2020-12-29,USD,26,Donald Reynolds,321,Texas,TX,74912,236897,Garland,35,Table Linens,2,5%,2371.8,1399.36,237.18,-1162.18,,
SO - 0005658,In-Store,2020-03-21,2020-04-04,2020-04-13,USD,1,Adam Hernandez,229,North Carolina,NC,56034,159769,Cary,16,Stemware,7,5%,3872.6,2517.19,1355.41,-1161.78,,
SO - 0006623,Online,2020-07-12,2020-08-09,2020-08-14,USD,16,Anthony Berry,73,California,CA,37861,103536,San Mateo,28,Phones,1,20%,3859.2,1929.6,771.84,-1157.76,,
SO - 0005883,In-Store,2020-04-16,2020-05-06,2020-05-16,USD,4,Chris Armstrong,64,California,CA,91267,322424,Riverside,1,Cookware,3,5%,2566.1,1539.66,384.92,-1154.75,,
